area_name_ch,area_name_en,area_code,language_name_cn,language_name_en,language_abbreviation_en
东欧,Europe,EUR,俄语,Russian,ru
大洋洲,Oceania,OA,英语,English,en
南美,South America,SA,葡萄牙语,Portuguese,pt
东欧,Europe,EUR,俄语,Russian,ru
东亚,East Asia,EA,,,
非洲,Africa,AF,英语,English,en
南美,South America,SA,西班牙语,Spanish,es
印度,India,IN,英语,English,en
北美,North America,NA,英语,English,en
欧洲,Europe,EUR,俄语,Russian,ru
中东,Middle East,ME,,,
非洲,Africa,AF,法语,French,fr
欧洲,Europe,EUR,,,
欧洲,Europe,EUR,,,
南美,South America,SA,西班牙语,Spanish,es
非洲,Africa,AF,,,
大洋洲,Oceania,OA,英语,English,en
其他,Others,OTHERS,,,
非洲,Africa,AF,英语,English,en
欧洲,Europe,EUR,俄语,Russian,ru
南美,South America,SA,西班牙语,Spanish,es
其他亚洲,Other Asia,OASIA,英语,English,en
欧洲,Europe,EUR,德语,German,de
非洲,Africa,AF,法语,French,fr
南美,South America,SA,西班牙语,Spanish,es
港澳台,"China（Hongkong,Macao,Taiwan)",HMT,,,
南亚,Asia,Asia,,,
非洲,Africa,AF,,,
大洋洲,Oceania,OA,,,
非洲,Africa,AF,英语,English,en
南美,South America,SA,西班牙语,Spanish,es
南美,South America,SA,,,
其他,Others,OTHERS,,,
其他亚洲,Other Asia,OASIA,俄语,Russian,ru
欧洲,Europe,EUR,,,
非洲,Africa,AF,法语,French,fr
非洲,Africa,AF,英语,English,en
其他亚洲,Other Asia,OASIA,英语,English,en
南美,South America,SA,西班牙语,Spanish,es
大洋洲,Oceania,OA,,,
南美,South America,SA,,,
非洲,Africa,AF,,,
中东,Middle East,ME,阿拉伯语,Arabic,ar
欧洲,Europe,EUR,英语,English,en
非洲,Africa,AF,法语,French,fr
非洲,Africa,AF,英语,English,en
大洋洲,Oceania,OA,,,
中东,Middle East,ME,阿拉伯语,Arabic,ar
非洲,Africa,AF,,,
非洲,Africa,AF,法语,French,fr
非洲,Africa,AF,,,
非洲,Africa,AF,法语,French,fr
南美,South America,SA,西班牙语,Spanish,es
其他亚洲,Other Asia,OASIA,英语,English,en
欧洲,Europe,EUR,英语,English,en
欧洲,Europe,EUR,俄语,Russian,ru
南美,South America,SA,西班牙语,Spanish,es
中东,Middle East,ME,,,
欧洲,Europe,EUR,,,
欧洲,Europe,EUR,,,
欧洲,Europe,EUR,意大利语,Italian,it
欧洲,Europe,EUR,俄语,Russian,ru
大洋洲,Oceania,OA,,,
大洋洲,Oceania,OA,英语,English,en
非洲,Africa,AF,,,
南美,South America,SA,葡萄牙语,Portuguese,pt
北美,North America,NA,西班牙语,Spanish,es
非洲,Africa,AF,,,
非洲,Africa,AF,,,
南美,South America,SA,西班牙语,Spanish,es
其他,Others,OTHERS,,,
大洋洲,Oceania,OA,英语,English,en
