date,division,index
1980-01-01,06,37.7
1980-01-01,09,68.8
1980-01-01,11,
1980-01-01,05,58.3
1980-01-01,08,
1980-01-01,10,
1980-01-01,07,36.2
1980-01-01,01,33.1
1980-01-01,overall,40.2
1980-01-01,12,
1980-01-01,02,17.3
1980-01-01,03,84.7
1980-01-01,13,
1980-01-01,04,47.3
1980-02-01,13,
1980-02-01,08,
1980-02-01,12,
1980-02-01,04,47.5
1980-02-01,03,84.8
1980-02-01,02,17.3
1980-02-01,11,
1980-02-01,10,
1980-02-01,01,33.3
1980-02-01,09,69.2
1980-02-01,07,36.2
1980-02-01,05,58.5
1980-02-01,overall,40.4
1980-02-01,06,38.0
1980-03-01,10,
1980-03-01,04,47.5
1980-03-01,05,58.9
1980-03-01,08,
1980-03-01,07,36.3
1980-03-01,01,33.3
1980-03-01,11,
1980-03-01,06,38.1
1980-03-01,02,17.3
1980-03-01,13,
1980-03-01,12,
1980-03-01,03,85.5
1980-03-01,09,69.1
1980-03-01,overall,40.4
1980-04-01,01,33.2
1980-04-01,09,69.1
1980-04-01,05,59.0
1980-04-01,07,36.4
1980-04-01,11,
1980-04-01,overall,40.2
1980-04-01,06,38.1
1980-04-01,02,17.5
1980-04-01,10,
1980-04-01,13,
1980-04-01,08,
1980-04-01,12,
1980-04-01,03,85.6
1980-04-01,04,47.5
1980-05-01,06,38.5
1980-05-01,02,17.5
1980-05-01,09,69.1
1980-05-01,12,
1980-05-01,overall,40.6
1980-05-01,07,37.6
1980-05-01,05,59.4
1980-05-01,11,
1980-05-01,04,48.2
1980-05-01,13,
1980-05-01,03,86.2
1980-05-01,08,
1980-05-01,10,
1980-05-01,01,33.4
1980-06-01,08,
1980-06-01,13,
1980-06-01,10,
1980-06-01,03,86.6
1980-06-01,09,69.2
1980-06-01,11,
1980-06-01,05,60.0
1980-06-01,02,17.5
1980-06-01,01,33.7
1980-06-01,04,49.3
1980-06-01,overall,41.0
1980-06-01,12,
1980-06-01,06,38.6
1980-06-01,07,37.7
1980-07-01,03,86.8
1980-07-01,13,
1980-07-01,11,
1980-07-01,08,
1980-07-01,overall,41.3
1980-07-01,06,38.8
1980-07-01,02,18.3
1980-07-01,12,
1980-07-01,10,
1980-07-01,01,33.9
1980-07-01,09,69.4
1980-07-01,07,37.9
1980-07-01,05,60.4
1980-07-01,04,49.4
1980-08-01,overall,41.7
1980-08-01,06,39.3
1980-08-01,04,49.6
1980-08-01,01,34.0
1980-08-01,11,
1980-08-01,08,
1980-08-01,13,
1980-08-01,12,
1980-08-01,10,
1980-08-01,09,69.4
1980-08-01,03,87.7
1980-08-01,02,18.4
1980-08-01,05,60.7
1980-08-01,07,39.5
1980-09-01,11,
1980-09-01,13,
1980-09-01,02,18.5
1980-09-01,08,
1980-09-01,07,40.1
1980-09-01,12,
