date,category,variable,value
1970-01-01,budget,balance,-475
1970-01-01,financing,asset_use,112
1970-01-01,financing,foreign_net,-2
1970-01-01,financing,foreign_gross,107
1970-01-01,financing,domestic_net,365
1970-01-01,financing,domestic_gross,372
1970-01-01,budget,spending_covid19,0
1970-01-01,budget,spending_de_net,712
1970-01-01,budget,spending_de_gross,725
1970-01-01,budget,spending_oe,2163
1970-01-01,budget,revenue,2400
1971-01-01,budget,balance,-1050
1971-01-01,budget,revenue,2418
1971-01-01,financing,asset_use,-50
1971-01-01,financing,foreign_net,372
1971-01-01,financing,foreign_gross,421
1971-01-01,financing,domestic_gross,816
1971-01-01,financing,domestic_net,728
1971-01-01,budget,spending_covid19,0
1971-01-01,budget,spending_de_net,1070
1971-01-01,budget,spending_de_gross,1085
1971-01-01,budget,spending_oe,2398
1972-01-01,budget,balance,-1371
1972-01-01,budget,spending_oe,3068
1972-01-01,budget,revenue,2920
1972-01-01,financing,asset_use,181
1972-01-01,financing,foreign_net,354
1972-01-01,financing,foreign_gross,404
1972-01-01,financing,domestic_net,836
1972-01-01,budget,spending_covid19,0
1972-01-01,financing,domestic_gross,1096
1972-01-01,budget,spending_de_net,1223
1972-01-01,budget,spending_de_gross,1242
1973-01-01,budget,balance,-1049
1973-01-01,budget,spending_de_gross,1128
1973-01-01,budget,spending_oe,3342
1973-01-01,budget,revenue,3399
1973-01-01,financing,asset_use,103
1973-01-01,financing,foreign_net,69
1973-01-01,financing,foreign_gross,171
1973-01-01,financing,domestic_net,877
1973-01-01,financing,domestic_gross,1120
1973-01-01,budget,spending_covid19,0
1973-01-01,budget,spending_de_net,1106
1974-01-01,budget,spending_de_net,1854
1974-01-01,budget,spending_de_gross,1878
1974-01-01,budget,balance,-1381
1974-01-01,budget,spending_oe,4318
1974-01-01,budget,revenue,4791
1974-01-01,financing,asset_use,326
1974-01-01,financing,foreign_net,223
1974-01-01,financing,foreign_gross,351
1974-01-01,financing,domestic_net,832
1974-01-01,financing,domestic_gross,1062
1974-01-01,budget,spending_covid19,0
1975-01-01,budget,spending_covid19,0
1975-01-01,budget,spending_de_net,2118
1975-01-01,budget,spending_de_gross,2151
1975-01-01,budget,spending_oe,4900
1975-01-01,budget,balance,-1901
1975-01-01,budget,revenue,5117
1975-01-01,financing,asset_use,-221
1975-01-01,financing,foreign_net,912
1975-01-01,financing,foreign_gross,1165
1975-01-01,financing,domestic_net,1210
1975-01-01,financing,domestic_gross,1386
1976-01-01,financing,domestic_gross,2147
1976-01-01,budget,spending_covid19,0
1976-01-01,budget,spending_de_net,2334
1976-01-01,budget,spending_oe,5528
1976-01-01,budget,spending_de_gross,2378
1976-01-01,budget,revenue,6157
1976-01-01,budget,balance,-1705
1976-01-01,financing,asset_use,-569
1976-01-01,financing,foreign_net,638
1976-01-01,financing,domestic_net,1636
1976-01-01,financing,foreign_gross,948
1977-01-01,financing,domestic_net,1887
1977-01-01,financing,domestic_gross,2141
1977-01-01,budget,balance,-2476
1977-01-01,budget,spending_covid19,0
1977-01-01,budget,spending_de_net,3138
1977-01-01,budget,spending_de_gross,3217
1977-01-01,budget,spending_oe,7098
1977-01-01,budget,revenue,7760
1977-01-01,financing,asset_use,320
1977-01-01,financing,foreign_net,269
1977-01-01,financing,foreign_gross,1173
1978-01-01,financing,foreign_gross,1934
1978-01-01,financing,domestic_gross,1669
1978-01-01,financing,domestic_net,1165
1978-01-01,budget,spending_covid19,0
1978-01-01,budget,balance,-2249
1978-01-01,budget,spending_de_net,3699
1978-01-01,budget,spending_de_gross,3782
1978-01-01,budget,spending_oe,7391
1978-01-01,budget,revenue,8841
1978-01-01,financing,asset_use,543
1978-01-01,financing,foreign_net,541
1979-01-01,financing,foreign_gross,863
1979-01-01,financing,foreign_net,679
1979-01-01,financing,domestic_net,2507
1979-01-01,financing,domestic_gross,3150
1979-01-01,budget,spending_covid19,0
1979-01-01,budget,spending_de_net,4150
1979-01-01,budget,balance,-1535
1979-01-01,budget,spending_de_gross,4281
1979-01-01,budget,spending_oe,7890
1979-01-01,budget,revenue,10505
1979-01-01,financing,asset_use,-1651
1980-01-01,financing,asset_use,1083
1980-01-01,financing,foreign_net,310
1980-01-01,financing,foreign_gross,493
1980-01-01,financing,domestic_net,2311
1980-01-01,financing,domestic_gross,3266
1980-01-01,budget,spending_covid19,0
1980-01-01,budget,spending_de_net,7338
1980-01-01,budget,spending_de_gross,7470
1980-01-01,budget,balance,-3704
1980-01-01,budget,spending_oe,10292
1980-01-01,budget,revenue,13926
1981-01-01,budget,balance,-9015
1981-01-01,financing,asset_use,1505
1981-01-01,financing,foreign_net,3419
1981-01-01,financing,foreign_gross,3618
1981-01-01,financing,domestic_net,4091
1981-01-01,financing,domestic_gross,4965
1981-01-01,budget,spending_covid19,0
1981-01-01,budget,spending_de_net,11135
1981-01-01,budget,spending_de_gross,11358
1981-01-01,budget,spending_oe,13686
1981-01-01,budget,revenue,15806
1982-01-01,budget,balance,-10421
1982-01-01,budget,revenue,16690
1982-01-01,financing,asset_use,-556
1982-01-01,financing,foreign_net,4893
1982-01-01,financing,foreign_gross,5380
1982-01-01,financing,domestic_net,6084
1982-01-01,financing,domestic_gross,7071
1982-01-01,budget,spending_covid19,0
1982-01-01,budget,spending_de_net,11189
1982-01-01,budget,spending_oe,15922
1982-01-01,budget,spending_de_gross,11485
1983-01-01,budget,spending_oe,16124
1983-01-01,budget,revenue,18608
1983-01-01,budget,balance,-6933
1983-01-01,financing,asset_use,-2102
1983-01-01,financing,foreign_net,4569
1983-01-01,financing,domestic_net,4466
1983-01-01,financing,foreign_gross,5067
1983-01-01,financing,domestic_gross,4797
1983-01-01,budget,spending_de_net,9417
1983-01-01,budget,spending_covid19,0
1983-01-01,budget,spending_de_gross,9670
1984-01-01,budget,spending_de_gross,8407
1984-01-01,budget,spending_oe,17506
1984-01-01,budget,revenue,20805
1984-01-01,budget,balance,-4775
1984-01-01,financing,foreign_net,3093
1984-01-01,financing,asset_use,-1471
1984-01-01,financing,foreign_gross,4155
1984-01-01,financing,domestic_net,3153
1984-01-01,financing,domestic_gross,4081
1984-01-01,budget,spending_covid19,0
1984-01-01,budget,spending_de_net,8074
1985-01-01,budget,spending_de_net,6756
1985-01-01,budget,spending_de_gross,7142
1985-01-01,budget,spending_oe,18766
1985-01-01,budget,revenue,21115
1985-01-01,budget,balance,-4407
1985-01-01,financing,asset_use,-140
1985-01-01,financing,foreign_net,956
1985-01-01,financing,foreign_gross,7343
1985-01-01,financing,domestic_net,3591
1985-01-01,financing,domestic_gross,4980
1985-01-01,budget,spending_covid19,0
1986-01-01,budget,spending_covid19,0
1986-01-01,budget,spending_de_net,6949
1986-01-01,budget,spending_oe,20075
1986-01-01,budget,spending_de_gross,7559
