series,date,gdp,gni,gdp_capita,gni_capita
abs,1947-01-01,3531.0,3511.0,719.0,715.0
abs,1948-01-01,3619.0,3580.0,726.0,718.0
growth_yoy,1948-01-01,2.5,2.0,1.0,0.4
abs,1949-01-01,3550.0,3400.0,699.0,669.0
growth_yoy,1949-01-01,-1.9,-5.0,-3.7,-6.8
abs,1950-01-01,5345.0,4765.0,1023.0,912.0
growth_yoy,1950-01-01,50.6,40.1,46.4,36.3
abs,1951-01-01,7520.0,6840.0,1409.0,1282.0
growth_yoy,1951-01-01,40.7,43.5,37.7,40.6
abs,1952-01-01,6350.0,6155.0,1153.0,1118.0
growth_yoy,1952-01-01,-15.6,-10.0,-18.2,-12.8
abs,1953-01-01,5780.0,5690.0,1013.0,997.0
growth_yoy,1953-01-01,-9.0,-7.6,-12.1,-10.8
abs,1954-01-01,,,,
growth_yoy,1954-01-01,0.0,0.0,0.0,0.0
abs,1955-01-01,4992.0,4756.0,824.0,785.0448717948718
growth_yoy,1955-01-01,-13.6,-16.4,-18.7,-21.3
abs,1956-01-01,5060.0,4842.0,809.0,774.0
growth_yoy,1956-01-01,1.4,1.8,-1.8,-1.4
abs,1957-01-01,5126.0,4948.0,816.0,788.0
growth_yoy,1957-01-01,1.3,2.2,0.9,1.8
abs,1958-01-01,4896.0,4758.0,753.0,731.0
growth_yoy,1958-01-01,-4.5,-3.8,-7.7,-7.2
abs,1959-01-01,5527.0,5316.0,825.0,793.0
growth_yoy,1959-01-01,12.9,11.7,9.6,8.5
abs,1960-01-01,5866.0,5616.0,723.0,692.0
growth_yoy,1960-01-01,6.1,5.6,-12.4,-12.7
abs,1961-01-01,5822.0,5633.0,695.0,672.0
growth_yoy,1961-01-01,-0.8,0.3,-3.9,-2.9
abs,1962-01-01,6127.0,5985.0,708.0,692.0
growth_yoy,1962-01-01,5.2,6.2,1.9,3.0
abs,1963-01-01,7684.0,7513.0,861.0,842.0
growth_yoy,1963-01-01,25.4,25.5,21.6,21.7
abs,1964-01-01,8187.0,7960.0,893.0,868.0
growth_yoy,1964-01-01,6.5,5.9,3.7,3.1
abs,1965-01-01,9050.0,8776.0,959.0,930.0
growth_yoy,1965-01-01,10.5,10.3,7.4,7.1
abs,1966-01-01,9623.0,9344.0,989.0,960.0
growth_yoy,1966-01-01,6.3,6.5,3.1,3.2
abs,1967-01-01,9762.0,9647.0,976.0,964.0
growth_yoy,1967-01-01,1.4,3.2,-1.3,0.4
abs,1968-01-01,10195.0,10074.0,994.0,983.0
growth_yoy,1968-01-01,4.4,4.4,1.8,2.0
abs,1969-01-01,11218.0,10939.0,1068.0,1042.0
growth_yoy,1969-01-01,10.0,8.6,7.4,6.0
abs,1970-01-01,11829.0,11644.0,1087.0,1070.0
growth_yoy,1970-01-01,5.4,6.4,1.8,2.7
abs,1971-01-01,12955.0,12592.0,1161.0,1128.0
growth_yoy,1971-01-01,9.5,8.1,6.8,5.4
abs,1972-01-01,14220.0,13842.0,1243.0,1210.0
growth_yoy,1972-01-01,9.8,9.9,7.1,7.3
abs,1973-01-01,18723.0,18064.0,1598.0,1541.0
growth_yoy,1973-01-01,31.7,30.5,28.6,27.4
abs,1974-01-01,22858.0,21861.0,1905.0,1822.0
growth_yoy,1974-01-01,22.1,21.0,19.2,18.2
abs,1975-01-01,22332.0,21606.0,1816.0,1757.0
growth_yoy,1975-01-01,-2.3,-1.2,-4.7,-3.6
abs,1976-01-01,28085.0,26988.0,2231.0,2144.0
growth_yoy,1976-01-01,25.8,24.9,22.9,22.0
abs,1977-01-01,32340.0,31064.0,2507.0,2408.0
growth_yoy,1977-01-01,15.2,15.1,12.4,12.3
abs,1978-01-01,37886.0,36186.0,2870.0,2741.0
growth_yoy,1978-01-01,17.1,16.5,14.5,13.8
abs,1979-01-01,46424.0,44354.0,3434.0,3281.0
growth_yoy,1979-01-01,22.5,22.6,19.7,19.7
abs,1980-01-01,53308.0,51390.0,3841.0,3703.0
growth_yoy,1980-01-01,14.8,15.9,11.9,12.9
abs,1981-01-01,57613.0,55602.0,4041.0,3900.0
growth_yoy,1981-01-01,8.1,8.2,5.2,5.3
abs,1982-01-01,62599.0,59710.0,4273.0,4075.0
growth_yoy,1982-01-01,8.7,7.4,5.7,4.5
abs,1983-01-01,70444.0,66033.0,4681.0,4388.0
growth_yoy,1983-01-01,12.5,10.6,9.5,7.7
abs,1984-01-01,79550.0,74182.0,5149.0,4801.0
growth_yoy,1984-01-01,12.9,12.3,10.0,9.4
abs,1985-01-01,77470.0,71962.0,4878.0,4531.0
growth_yoy,1985-01-01,-2.6,-3.0,-5.3,-5.6
abs,1986-01-01,71594.0,66818.0,4384.0,4092.0
growth_yoy,1986-01-01,-7.6,-7.1,-10.1,-9.7
abs,1987-01-01,81085.0,76104.0,4834.0,4537.0
growth_yoy,1987-01-01,13.3,13.9,10.3,10.9
abs,1988-01-01,92370.0,87286.0,5364.0,5069.0
growth_yoy,1988-01-01,13.9,14.7,11.0,11.7
abs,1989-01-01,105233.0,99330.0,5958.0,5624.0
growth_yoy,1989-01-01,13.9,13.8,11.1,10.9
abs,1990-01-01,119081.0,114017.0,6578.0,6299.0
growth_yoy,1990-01-01,13.2,14.8,10.4,12.0
abs,1991-01-01,135124.0,128324.0,7285.0,6919.0
growth_yoy,1991-01-01,13.5,12.5,10.7,9.8
abs,1992-01-01,150682.0,142676.0,7903.0,7483.0
growth_yoy,1992-01-01,11.5,11.2,8.5,8.2
abs,1993-01-01,172194.0,163928.0,8785.0,8363.0
growth_yoy,1993-01-01,14.3,14.9,11.2,11.8
abs,1994-01-01,195461.0,186049.0,9704.0,9237.0
growth_yoy,1994-01-01,13.5,13.5,10.5,10.5
abs,1995-01-01,222473.0,212095.0,10757.0,10255.0
growth_yoy,1995-01-01,13.8,14.0,10.9,11.0
abs,1996-01-01,253732.0,241931.0,11956.0,11399.0
growth_yoy,1996-01-01,14.1,14.1,11.1,11.2
abs,1997-01-01,281795.0,266699.0,12945.0,12251.0
growth_yoy,1997-01-01,11.1,10.2,8.3,7.5
abs,1998-01-01,283243.0,267923.0,12682.0,11996.0
growth_yoy,1998-01-01,0.5,0.5,-2.0,-2.1
abs,1999-01-01,300764.0,279878.0,13129.0,12217.0
growth_yoy,1999-01-01,6.2,4.5,3.5,1.8
abs,2000-01-01,356401.0,327492.0,15169.0,13939.0
growth_yoy,2000-01-01,18.5,17.0,15.5,14.1
abs,2001-01-01,352579.0,326956.0,14672.0,13606.0
growth_yoy,2001-01-01,-1.1,-0.2,-3.3,-2.4
abs,2002-01-01,383213.0,358152.0,15614.0,14593.0
growth_yoy,2002-01-01,8.7,9.5,6.4,7.3
abs,2003-01-01,418769.0,396232.0,16725.0,15825.0
growth_yoy,2003-01-01,9.3,10.6,7.1,8.4
abs,2004-01-01,474048.0,449646.0,18560.0,17605.0
growth_yoy,2004-01-01,13.2,13.5,11.0,11.2
abs,2005-01-01,543578.0,519635.0,20870.0,19951.0
growth_yoy,2005-01-01,14.7,15.6,12.4,13.3
abs,2006-01-01,596784.0,579490.0,22478.0,21826.0
growth_yoy,2006-01-01,9.8,11.5,7.7,9.4
abs,2007-01-01,665340.0,651355.0,24589.0,24073.0
growth_yoy,2007-01-01,11.5,12.4,9.4,10.3
abs,2008-01-01,769949.0,746915.0,27929.0,27094.0
growth_yoy,2008-01-01,15.7,14.7,13.6,12.5
abs,2009-01-01,712857.0,698643.0,25385.0,24880.0
growth_yoy,2009-01-01,-7.4,-6.5,-9.1,-8.2
abs,2010-01-01,821434.0,795303.0,28733.0,27819.0
growth_yoy,2010-01-01,15.2,13.8,13.2,11.8
abs,2011-01-01,911733.0,890133.0,31372.0,30629.0
growth_yoy,2011-01-01,11.0,11.9,9.2,10.1
abs,2012-01-01,971252.0,935410.0,32913.0,31698.0
growth_yoy,2012-01-01,6.5,5.1,4.9,3.5
abs,2013-01-01,1018614.0,984639.0,33714.0,32589.0
growth_yoy,2013-01-01,4.9,5.3,2.4,2.8
abs,2014-01-01,1106443.0,1069819.0,36030.0,34838.0
growth_yoy,2014-01-01,8.6,8.7,6.9,6.9
abs,2015-01-01,1176941.0,1144829.0,37739.0,36710.0
growth_yoy,2015-01-01,6.4,7.0,4.7,5.4
abs,2016-01-01,1249698.0,1215105.0,39505.0,38412.0
growth_yoy,2016-01-01,6.2,6.1,4.7,4.6
abs,2017-01-01,1372309.832,1333651.56,42854.45,41647.23
growth_yoy,2017-01-01,9.8,9.8,8.5,8.4
abs,2018-01-01,1447760.0,1402677.0,44709.0,43316.0
growth_yoy,2018-01-01,5.5,5.2,4.3,4.0
abs,2019-01-01,1512738.0,1473242.0,46513.0,45298.0
growth_yoy,2019-01-01,4.5,5.0,4.0,4.6
abs,2020-01-01,1418491.0,1389971.0,43717.16953801584,42838.0
growth_yoy,2020-01-01,-6.2,-5.7,-6.0,-5.4
abs,2021-01-01,1548700.7910000002,1506548.008,47540.740388735285,46246.769
growth_yoy,2021-01-01,9.2,8.4,8.7,8.0
abs,2022-01-01,1793903.063,1736960.363,54862.56683217665,53121.1
growth_yoy,2022-01-01,15.8,15.3,15.4,14.9
abs,2023-01-01,1824018.518,1768357.743,54608.31105730902,52941.913
growth_yoy,2023-01-01,1.7,1.8,-0.5,-0.3
abs,2024-01-01,1932291.49,1866180.797,56745.12947988649,54803.673
growth_yoy,2024-01-01,5.9,5.5,3.9,3.5
abs,2025-01-01,2023075.573,1953610.238,59099.51863891292,57070.248
growth_yoy,2025-01-01,4.7,4.7,4.1,4.1
