category,entity_type,min_income,max_income,rate_pct
corporate,Standard Resident,0,99999999999,24
corporate,SME_First,0,150000,15
corporate,SME_Mid,150001,600000,17
corporate,SME_Excess,600001,99999999999,24
corporate,NonResident,0,99999999999,24
personal,0-5k,0,5000,0
personal,5-20k,5001,20000,1
personal,20-35k,20001,35000,3
personal,35-50k,35001,50000,6
personal,50-70k,50001,70000,11
personal,70-100k,70001,100000,19
personal,100-400k,100001,400000,25
personal,400-600k,400001,600000,26
personal,600k-2M,600001,2000000,28
personal,over2M,2000001,99999999999,30
