notif_no,product,holder,manufacturer,substance_detected
NOT180503436K,3RD SERIES YANKO FADE OUT CREAM DAY CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",MERCURY
NOT180503437K,3RD SERIES YANKO WHITENING CREAM NIGHT CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",TRETNON
NOT180503439K,5TH SERIES YANKO FADE OUT CREAM DAY CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",MERCURY
NOT180503440K,5TH SERIES YANKO WHITENING CREAM NIGHT CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",TRETNON
NOT180503441K,7TH SERIES YANKO WHITENING CREAM DAY,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",MERCURY
NOT180503442K,7TH SERIES YANKO WHITENING CREAM NIGHT,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",TRETNON
NOT221004660K,ABYRA SEAWEED SKIN CARE- SEAWEED CELL RENEWAL NIGHT CREAM,ABYRA STAR EMPIRE,"NEOCOSMED CO., LTD",MERCURY
NOT181003521K,AILISI Acne Purifying Cream,Ai Li Si Beauty Enterprise,"TAIWAN LADIES COSMETICS CO., LTD.",CLINDAMYCIN
NOT220202802K,AIREE BEAUTYCARE NIGHT CREAM,EVONIZ COSMETIC INDUSTRIES,Yamni Industry,MERCURY
NOT170600522K,ALORA NIGHT GLOWING CREAM,DM BEAUTY RESOURCES,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,HYDROQUINONE
NOT170801150K,Apple Diamond Day Loose,GLOWING EXPERT APPLE DIAMOND,Yamni Industry,MERCURY
NOT190904416K,ARMILA BEAUTY KAK ELL PIGMENT BOOSTER,ARMILA BERHAD,GUANG-DING CORPORATION,STEROID
NOT200205124K,AS'S BEAUTY NIGHT CREAM,ASS BEAUTY ENTERPRISE,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY
NOT170804496K,Asdanne Whitening Freckle Day Cream,YS Medicals Sdn. Bhd.,"BEAUTY COSMETIC CO., LTD",MERCURY
NOT151204804K,AURA GORGEOUS NIGHT CREAM,AURA GORGEOUS BEAUTY & HEALTHY,ANFA INTERNATIONAL LABORATOIRES,MERCURY
NOT180103663K,Bao Fu Ling Skincare Cream,AMG Wellness Sdn. Bhd.,"Yantai Baofuling Biotechnology Co., Ltd.",DIPHENHYDRAMINE
NOT180202851K,Bao Fu Ling Snow Lotus Cream 15g,BAO FU LING GLOBAL ENTERPRISE SDN. BHD.,"Beijing Bao Shu Tang Sci-Tech Pharmaceutical Co., Ltd.",DIPHENHYDRAMINE
NOT191200526K,BB GLOW SOUL CREAM,NH BIZ RESOURCES,ATHENA(GUANGZHOU) COSMETICS MANUFACTURER CO. LTD.,HYDROQUINONE AND TRETINOIN
NOT201107589K,BEAUTE TREATMENT CREAM,NH BIZ RESOURCES,"IREAL PLUS (THAILAND) CO., LTD.","STEROID,HYDROQUINONE,TRETINOIN"
NOT190900489K,BEAUTY SLEEP TREATMENT CREAM,NH BIZ RESOURCES,"GUANGZHOU BITING COSMETIC CO., LTD.",HYDROQUINONE AND TRETINOIN
NOT190907469K,BEAUTYWISE REJUVENATING TONER,CBB BEAUTYWISE GLOBAL,GLOWCAL MANUFACTURING CORP.,HYDROQUINONE AND TRETINOIN
NOT220707389K,BESTIE MOISTURIZER CREAM,KARISMA EMPAYAR SDN. BHD.,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY
NOT200604601K,BIELA BEAUTY GLOWING NIGHT CREAM,BE FLAWLESS HQ MARKETING,PT. ADEV NATURAL INDONESIA,"MERCURY,MERCURY"
NOT220601259K,BL LEDEHH DAY CREAM 1,BL MIRA VENTURES,"Skin Care Products (Thailand) Co., Ltd.","HYDROQUINONE,TRETINOIN"
NOT190200461K,BL SKINCARE DAY CREAM 2,BL MIRA VENTURES,"Skin Care Products (Thailand) Co., Ltd.",MERCURY
NOT190200462K,BL SKINCARE NIGHT CREAM,BL MIRA VENTURES,"Skin Care Products (Thailand) Co., Ltd.",MERCURY
NOT190806808K,Brilliant Skin Essentials Rejuvenating Facial Cream,BRILLIANT SKIN ESSENTIALS TRADING,SBG MANUFACTURING INC.,HYDROQUINONE AND TRETINOIN
NOT190808060K,Brilliant Skin Essentials Whitening Facial Cream,BRILLIANT SKIN ESSENTIALS TRADING,SBG MANUFACTURING INC.,TRETNON
NOT211005337K,BUBBLE   BELLY    MULTI PURPOSE    ESSENCE,DTS SKINCARE  INDUSTRIES  SDN.BHD,DTS SKINCARE  INDUSTRIES  SDN.BHD,METHYL SALICYLATE
NOT221102979K,BUBBLE BELLY BODY OIL SERUM,REINO GLOBAL SDN. BHD.,M/S. ARGION COSMED INDIA PVT LTD,"METHYL SALICYLATE,THYMOL,MENTHOL"
NOT180802788K,CLAIR DE LUNE - P.TUBEROSE DAY CREAM,LAURUSTINUS SDN. BHD.,Hung Choy Cosmetics Manufacturing Co Ltd,"SULFAMETHOXAZOLE,KETOCONAZOLE,CHLORAMPHENICOL,TRIMETHOPRIM"
NOT180802789K,CLAIR DE LUNE - S.INVOLUCRATA NIGHT CREAM,LAURUSTINUS SDN. BHD.,Hung Choy Cosmetics Manufacturing Co Ltd,"SULFAMETHOXAZOLE,CHLORPHENIRAMINE,METRONIDAZOLE,TRIMETHOPRIM,GRISEOFULVIN"
NOT220501104K,CLEMIRA CARE CREAM,CLEMIRA GROUP TRADING,KM COMPANY INC.,MICONAZOLE
NOT191203847K,DEEJA COSMETIC LAILA CREAM,TWIN RICH SOLUTION,TOP ON COSMETICS INDUSTRIES,"STEROID,MERCURY"
NOT171004771K,DEEJA COSMETIC STAR CREAM,LIMAJARI MARKETING,TOP ON COSMETICS INDUSTRIES,"HYDROQUINONE,TRETNON"
NOT190108080K,DEEJA COSMETICS ZULAI CREAM,TWIN RICH SOLUTION,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE
NOT180105344K,DEEJA WRINKLE CREAM,LIMAJARI MARKETING,TOP ON COSMETICS INDUSTRIES,MERCURY
NOT200603276K,DELUXE BEAUTY - ULTRA LIGHTENING CREAM PEARL PERFECT FAIRNESS,LUNA GROUP SDN. BHD.,ROYAL INTERNATIONAL.,MERCURY
NOT181002913K,DNARS GOLD BALEN CREAM (NIGHT),ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,"HYDROQUINONE,STEROID"
NOT181002911K,DNARS GOLD GLOWING SERUM (DAY),ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,STEROID
NOT181002912K,DNARS GOLD LIFTHING SERUM (NIGHT),ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,MERCURY
NOT180104881K,DNARS GOLDEN CREAM,ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,MERCURY
NOT160802315K,DNARS HONEY CREAM,ONEW COSMETICS,Yamni Industry,"TRETNON,HYDROQUINONE"
NOT190506522K,DNARS LUVEE CREAM,ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE
NOT180104880K,DNARS NIEN CREAM,ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE AND TRETINOIN
NOT131006026K,DNARS YELLOW GOLD COLLAGEN,ORI HERBS COFFEE MARKETING,Yamni Industry,MERCURY
NOT171200081K,DOLLY GLOW MIRACLE TREATMENT CREAM,NH BIZ RESOURCES,Nund Skintech,HYDROQUINONE AND TRETINOIN
