company,state,postcode,address,poison,non_poison,traditional,health_supplement,poison_vet,non_poison_vet
3A Pharma Sdn. Bhd.,Sarawak,93150,"No. 60, Lot 2570, 1st Floor Jalan Tun Ahmad Zaidi Adruce",1,0,0,0,0,0
A. MENARINI SINGAPORE PTE. LTD.,Selangor,47301,"B-18-2, LEVEL 18, THE ASCENT PARADIGM NO. 1, JALAN SS7/26A KELANA JAYA",1,1,1,1,0,0
AA PHARMACY HEALTHCARE SDN BHD,Selangor,40150,"No. 11, Jalan Pemaju U1/15 Seksyen U1 Hicom Glenmarie Industrial Park",1,1,1,1,0,0
ABEILLE D`OR CORPORATION SDN. BHD.,W.P. Kuala Lumpur,50200,"Tingkat 5 & 6, Abeille D'Or Centre 18, Tengkat Tong Shin",0,0,1,1,0,0
Abio Marketing Sdn Bhd,Selangor,47500,"No. 2, Jalan SS13/5",1,1,1,1,0,0
Absolute Pharma Sdn Bhd,W.P. Kuala Lumpur,53300,"74-3, Jalan Wangsa Delima 6 KLSC Wangsa Maju",0,0,0,1,0,0
ACCORD HEALTHCARE SDN.BHD.,W.P. Kuala Lumpur,56000,"SUITE 12A-15, LEVEL 12A, WISMA ZELAN NO. 1, JALAN TASIK PERMAISURI 2 BANDAR TUN RAZAK",1,0,0,0,0,0
ACG HEALTHCARE SDN. BHD.,Johor,80050,"116, JALAN KERIS TAMAN SRI TEBRAU",1,1,1,1,0,0
ADORE LIFESCIENCES SDN. BHD.,Selangor,47810,"A-06-26, Kompleks Perindustrian EMHUB Persiaran Surian, Seksyen 3 Taman Sains Selangor, Kota Damansara",0,0,1,1,0,0
ADVANCE M S SDN. BHD.,Sarawak,93250,"GROUND FLOOR, LOT 1807, 1806 & 1804, BLOCK 233 NO. 165, JALAN PENRISSEN 7TH MILE, KOTA SENTOSA",1,0,0,0,0,0
Advance Pharma Sdn Bhd,Selangor,47120,"No. 28, Jalan BP 6/6 Bandar Bukit Puchong",1,1,0,1,0,0
Aegisu Sdn. Bhd.,W.P. Kuala Lumpur,50480,"D-09-D1 PLAZA MONT KIARA NO. 2, JALAN KIARA, MONT KIARA",0,0,0,1,0,0
AETOS PHARMA SDN BHD,W.P. Kuala Lumpur,56000,"No. 66B, Tingkat 2 Jalan Cerdas, Taman Connaught",1,1,1,1,0,0
AFDZAL CONSULTANCY SDN BHD,Pulau Pinang,13200,"34, GROUND FLOOR LORONG BERTAM INDAH 12 TAMAN BERTAM INDAH",1,1,1,1,0,0
AFG PHARMA SDN. BHD.,Pahang,26700,"ALSYIFAA FARMASI NO. 8, JALAN MAKMUR UTAMA BANDAR SATELIT",1,1,1,1,1,1
AFNI RESOURCES,Selangor,68100,"NO. 139-1B, JALAN 1 PUSAT NIAGA BATU CAVES",1,1,1,1,1,1
AG PHARMACY SDN. BHD.,Kedah,05000,"937, TINGKAT BAWAH JALAN SULTAN BADLISHAH",1,1,0,1,0,0
Age D`or Sdn. Bhd.,Selangor,40460,"15, JALAN 31/54 KOTA KEMUNING, SEKSYEN 31",1,1,0,1,1,1
Agro-farmchem Sdn Bhd,Selangor,47500,"No. 5, Jalan SS13/3A Subang Jaya Industrial Park",1,0,0,0,1,0
AIN MEDICARE SDN. BHD.,Kedah,09000,"Lot 50, Jalan Perusahaan 2B Kawasan Perusahaan Kulim",1,1,0,1,1,1
AINTAI AGENCIES SDN BHD,Kedah,09600,"1004, JALAN MAKMUR 1/7 TAMAN MAKMUR",0,1,0,1,0,0
AINTAI CORPORATION SDN BHD,Kedah,09600,"NO. 1101, JALAN MAKMUR 6/7 TAMAN INDUSTRI MAKMUR",0,1,0,1,0,0
AINTAI JITRA SDN BHD,Kedah,06000,NO. 13 KAWASAN PERINDUSTRIAN BANDAR DARUL AMAN,0,1,0,1,0,0
AIPHARMA HEALTHCARE SDN BHD,Johor,81000,"No. 83, Jalan I-Park 1/9 Kawasan Perindustrian I-Park Bandar Indahpura",1,1,1,1,0,0
AIRSEAL FREIGHT FORWARDERS SDN BHD,Sarawak,93450,"LOT 1031, GROUND FLOOR, SECTION 66, KTLD, JALAN KISAR, BINTAWA INDUSTRIAL ESTATE",0,1,0,1,0,0
AK PHARMA (M) SDN BHD,W.P. Kuala Lumpur,56100,"No. 6, Tingkat Bawah, Jalan Kaskas 3 Taman Cheras",1,1,1,1,0,0
AL AMEEN HEALTHCARE SDN BHD,Pahang,26600,"NO. 7, TINGKAT BAWAH JALAN SERI DAGANGAN 1 PUSAT PERDAGANGAN PERAMU JAYA",1,1,1,1,0,0
AL EJIB HERBS SDN BHD,Johor,81100,"NO. 67, JALAN MUTIARA EMAS 5/1 TAMAN MOUNT AUSTIN",0,0,1,0,0,0
Alam Medik sdn Bhd,W.P. Kuala Lumpur,50490,"TINGKAT 2, WISMA PRIMA 17, JALAN SRI SEMANTAN SATU DAMANSARA HEIGHTS",1,0,0,0,0,0
ALATAN TEKNOLOGI SDN. BHD.,W.P. Kuala Lumpur,60000,"56A, LORONG RAHIM KAJAI 14 TAMAN TUN DR ISMAIL",1,0,0,0,0,0
ALCON LABORATORIES (MALAYSIA) SDN. BHD.,Selangor,46200,"Level 20-1, Tower B, Plaza 33 No. 1, Jalan Kemajuan, Seksyen 13",1,1,0,1,0,0
ALFAMAX PHARMACIA,W.P. Kuala Lumpur,53000,"BLOCK C, NO. 9-1-1, JALAN SEMARAK API 2 DIAMOND SQUARE OFF JALAN GOMBAK",1,0,0,0,0,0
All Day Pharmacy Sdn Bhd,Selangor,43950,"LOT 492, 1ST FLOOR & 2ND FLOOR, JALAN BESAR SUNGAI PELEK",1,1,0,1,0,0
ALLIANCE HEALTHCARE SOLUTIONS SDN. BHD.,Selangor,47630,"NO. 11-1, GROUND FLOOR JALAN USJ 21/3, USJ 21",1,1,0,1,0,0
ALLIED PHARMACY SDN.BHD.,W.P. Kuala Lumpur,55200,"NO. 7, JALAN 3/89C CHAN SOW LIN",1,1,1,1,1,1
Allinon Advance Technology Sdn. Bhd.,Pulau Pinang,11700,"28 (Tingkat Bawah), Desa Permai Indah Lorong Helang 2",0,0,1,1,0,0
ALMA MEDICAL SDN. BHD.,Pulau Pinang,13700,"56, TINGKAT 1 JALAN KURAU TAMAN CHAI LENG",1,0,0,0,0,0
Alpha Vet Sdn Bhd,Selangor,47600,"12, Jalan Industri USJ 1/8 Taman Perindustrian USJ 1",1,0,0,0,1,0
